group,confidence,name,kind,type,class,tier,itemHash,currentSourceText
B. Empty source string,Likely obtainable (review),A Distant Pull,Weapon,Sniper Rifle,,5,1769847435,(empty source string)
A. Non-source note,Likely obtainable (review),A Good Shout,Weapon,Combat Bow,,5,3615748501,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),A Good Shout,Weapon,Combat Bow,,5,649691506,
A. Non-source note,Likely obtainable (review),Aachen-LR2,Weapon,Sniper Rifle,,4,4157959958,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Aachen-LR2,Weapon,Sniper Rifle,,4,1177293327,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Agrona PR2,Weapon,Pulse Rifle,,4,1669771781,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Agrona PR2,Weapon,Pulse Rifle,,4,1678957658,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Airhead Hood,Armor,Hunter Cloak,Hunter,5,2751794833,
C. No collectible,Not ruled out (review),Airhead Hood,Armor,Hunter Cloak,Hunter,5,3002815194,
C. No collectible,Not ruled out (review),Airhead Hood,Armor,Hunter Cloak,Hunter,5,1504041928,
A. Non-source note,Likely obtainable (review),Allegro-34,Weapon,Hand Cannon,,4,2591586260,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Allegro-34,Weapon,Hand Cannon,,4,653875715,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),ALLEN 05,Weapon,Sniper Rifle,,5,423677697,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),All-Star Bond,Armor,Warlock Bond,Warlock,5,3168934826,
C. No collectible,Not ruled out (review),All-Star Cloak,Armor,Hunter Cloak,Hunter,5,1520144521,
C. No collectible,Not ruled out (review),All-Star Mark,Armor,Titan Mark,Titan,5,3159160837,
A. Non-source note,Likely obtainable (review),Armillary PSu,Weapon,Scout Rifle,,4,3906357379,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Armillary PSu,Weapon,Scout Rifle,,4,1650626964,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Aspirant Boots,Armor,Leg Armor,Warlock,2,4219498878,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Aspirant Boots,Armor,Leg Armor,Warlock,2,2814965254,
A. Non-source note,Likely obtainable (review),Aspirant Gloves,Armor,Gauntlets,Warlock,2,3931760244,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Aspirant Gloves,Armor,Gauntlets,Warlock,2,3812037372,
A. Non-source note,Likely obtainable (review),Aspirant Helm,Armor,Helmet,Warlock,2,3192660133,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Aspirant Helm,Armor,Helmet,Warlock,2,3159474701,
A. Non-source note,Likely obtainable (review),Aspirant Robes,Armor,Chest Armor,Warlock,2,3577457804,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Aspirant Robes,Armor,Chest Armor,Warlock,2,3468148580,
A. Non-source note,Likely obtainable (review),At Least It's a Cape,Armor,Hunter Cloak,Hunter,3,3971569908,Source: Earned while leveling.
C. No collectible,Not ruled out (review),At Least It's a Cape,Armor,Hunter Cloak,Hunter,3,720723122,
A. Non-source note,Likely obtainable (review),Atgeir 2T1,Armor,Chest Armor,Titan,3,595755242,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Atgeir 2T1,Armor,Gauntlets,Titan,3,3201304390,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Atgeir 2T1,Armor,Helmet,Titan,3,3267437183,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Atgeir 2T1,Armor,Leg Armor,Titan,3,3184791104,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Atgeir 2T1,Armor,Chest Armor,Titan,3,703683040,
C. No collectible,Not ruled out (review),Atgeir 2T1,Armor,Gauntlets,Titan,3,3650925928,
C. No collectible,Not ruled out (review),Atgeir 2T1,Armor,Helmet,Titan,3,739406993,
C. No collectible,Not ruled out (review),Atgeir 2T1,Armor,Leg Armor,Titan,3,457297858,
A. Non-source note,Likely obtainable (review),Atgeir Mark,Armor,Titan Mark,Titan,3,1232572923,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Atgeir Mark,Armor,Titan Mark,Titan,3,13719069,
A. Non-source note,Likely obtainable (review),Atonement Tau,Armor,Chest Armor,Warlock,4,3399906133,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Atonement Tau,Armor,Gauntlets,Warlock,4,3082920955,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Atonement Tau,Armor,Helmet,Warlock,4,2616464530,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Atonement Tau,Armor,Leg Armor,Warlock,4,1532961133,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Chest Armor,Warlock,4,3391214896,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Chest Armor,Warlock,4,4035217656,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Chest Armor,Warlock,4,91289429,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Gauntlets,Warlock,4,2339344379,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Gauntlets,Warlock,4,3102366928,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Gauntlets,Warlock,4,67798808,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Helmet,Warlock,4,3164547673,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Helmet,Warlock,4,3524846593,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Helmet,Warlock,4,1872887954,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Leg Armor,Warlock,4,2822491218,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Leg Armor,Warlock,4,3419425578,
C. No collectible,Not ruled out (review),Atonement Tau,Armor,Leg Armor,Warlock,4,789384557,
A. Non-source note,Likely obtainable (review),Azimuth DSu,Weapon,Hand Cannon,,4,2591586261,Source: Earned while leveling.
